year,age,origin,uni,applicants,accepted,party,brexit
2011,18,Welsh students,Scottish Universities,1210,100,Conservative,Pre Brexit
2011,18,Welsh students,Welsh Universities,48295,9930,Conservative,Pre Brexit
2011,19,European students,English Universities,94920,11470,Conservative,Pre Brexit
2011,19,European students,Northern Irish Universities,1300,100,Conservative,Pre Brexit
2011,19,European students,Scottish Universities,24940,2775,Conservative,Pre Brexit
2011,19,European students,Welsh Universities,3005,410,Conservative,Pre Brexit
2011,19,English students,English Universities,810605,127845,Conservative,Pre Brexit
2011,19,English students,Northern Irish Universities,855,100,Conservative,Pre Brexit
2011,19,English students,Scottish Universities,13935,1460,Conservative,Pre Brexit
2011,19,English students,Welsh Universities,20600,3590,Conservative,Pre Brexit
2011,19,Northern Irish students,English Universities,10255,1345,Conservative,Pre Brexit
2011,19,Northern Irish students,Northern Irish Universities,14380,2280,Conservative,Pre Brexit
2011,19,Northern Irish students,Scottish Universities,3130,340,Conservative,Pre Brexit
2011,19,Northern Irish students,Welsh Universities,410,50,Conservative,Pre Brexit
2011,19,International students,English Universities,117870,13200,Conservative,Pre Brexit
2011,19,International students,Northern Irish Universities,510,45,Conservative,Pre Brexit
2011,19,International students,Scottish Universities,7830,855,Conservative,Pre Brexit
2011,19,International students,Welsh Universities,3490,475,Conservative,Pre Brexit
2011,19,Scottish students,English Universities,4755,670,Conservative,Pre Brexit
2011,19,Scottish students,Northern Irish Universities,70,0,Conservative,Pre Brexit
2011,19,Scottish students,Scottish Universities,42150,6450,Conservative,Pre Brexit
2011,19,Scottish students,Welsh Universities,110,20,Conservative,Pre Brexit
2011,19,Welsh students,English Universities,19120,2560,Conservative,Pre Brexit
2011,19,Welsh students,Northern Irish Universities,25,0,Conservative,Pre Brexit
2011,19,Welsh students,Scottish Universities,405,40,Conservative,Pre Brexit
2011,19,Welsh students,Welsh Universities,16520,3420,Conservative,Pre Brexit
2011,20,European students,English Universities,37770,4860,Conservative,Pre Brexit
2011,20,European students,Northern Irish Universities,530,55,Conservative,Pre Brexit
2011,20,European students,Scottish Universities,9410,1180,Conservative,Pre Brexit
2011,20,European students,Welsh Universities,1180,250,Conservative,Pre Brexit
2011,20,English students,English Universities,275820,42755,Conservative,Pre Brexit
2011,20,English students,Northern Irish Universities,195,15,Conservative,Pre Brexit
2011,20,English students,Scottish Universities,3325,260,Conservative,Pre Brexit
2011,20,English students,Welsh Universities,5840,950,Conservative,Pre Brexit
2011,20,Northern Irish students,English Universities,3990,510,Conservative,Pre Brexit
2011,20,Northern Irish students,Northern Irish Universities,5835,1020,Conservative,Pre Brexit
2011,20,Northern Irish students,Scottish Universities,960,80,Conservative,Pre Brexit
2011,20,Northern Irish students,Welsh Universities,170,25,Conservative,Pre Brexit
2011,20,International students,English Universities,60770,7275,Conservative,Pre Brexit
2011,20,International students,Northern Irish Universities,360,65,Conservative,Pre Brexit
2011,20,International students,Scottish Universities,4190,540,Conservative,Pre Brexit
2011,20,International students,Welsh Universities,2660,405,Conservative,Pre Brexit
2011,20,Scottish students,English Universities,2115,290,Conservative,Pre Brexit
2011,20,Scottish students,Northern Irish Universities,30,5,Conservative,Pre Brexit
2011,20,Scottish students,Scottish Universities,25140,3900,Conservative,Pre Brexit
2011,20,Scottish students,Welsh Universities,60,10,Conservative,Pre Brexit
2011,20,Welsh students,English Universities,6010,765,Conservative,Pre Brexit
2011,20,Welsh students,Northern Irish Universities,15,0,Conservative,Pre Brexit
2011,20,Welsh students,Scottish Universities,110,10,Conservative,Pre Brexit
2011,20,Welsh students,Welsh Universities,6610,1360,Conservative,Pre Brexit
2011,21 - 24,European students,English Universities,45190,6020,Conservative,Pre Brexit
2011,21 - 24,European students,Northern Irish Universities,855,100,Conservative,Pre Brexit
2011,21 - 24,European students,Scottish Universities,11610,1310,Conservative,Pre Brexit
2011,21 - 24,European students,Welsh Universities,1760,320,Conservative,Pre Brexit
2011,21 - 24,English students,English Universities,381710,55935,Conservative,Pre Brexit
2011,21 - 24,English students,Northern Irish Universities,270,45,Conservative,Pre Brexit
2011,21 - 24,English students,Scottish Universities,5050,400,Conservative,Pre Brexit
2011,21 - 24,English students,Welsh Universities,7810,1160,Conservative,Pre Brexit
2011,21 - 24,Northern Irish students,English Universities,5830,660,Conservative,Pre Brexit
2011,21 - 24,Northern Irish students,Northern Irish Universities,9025,1370,Conservative,Pre Brexit
2011,21 - 24,Northern Irish students,Scottish Universities,1460,145,Conservative,Pre Brexit
2011,21 - 24,Northern Irish students,Welsh Universities,270,40,Conservative,Pre Brexit
2011,21 - 24,International students,English Universities,68810,7700,Conservative,Pre Brexit
2011,21 - 24,International students,Northern Irish Universities,450,50,Conservative,Pre Brexit
2011,21 - 24,International students,Scottish Universities,5030,640,Conservative,Pre Brexit
2011,21 - 24,International students,Welsh Universities,3440,490,Conservative,Pre Brexit
2011,21 - 24,Scottish students,English Universities,4070,430,Conservative,Pre Brexit
2011,21 - 24,Scottish students,Northern Irish Universities,75,10,Conservative,Pre Brexit
2011,21 - 24,Scottish students,Scottish Universities,41070,6680,Conservative,Pre Brexit
2011,21 - 24,Scottish students,Welsh Universities,165,20,Conservative,Pre Brexit
2011,21 - 24,Welsh students,English Universities,8170,935,Conservative,Pre Brexit
2011,21 - 24,Welsh students,Northern Irish Universities,15,0,Conservative,Pre Brexit
2011,21 - 24,Welsh students,Scottish Universities,215,15,Conservative,Pre Brexit
2011,21 - 24,Welsh students,Welsh Universities,10210,1980,Conservative,Pre Brexit
2011,25 - 29,European students,English Universities,10840,1305,Conservative,Pre Brexit
2011,25 - 29,European students,Northern Irish Universities,350,70,Conservative,Pre Brexit
2011,25 - 29,European students,Scottish Universities,2360,275,Conservative,Pre Brexit
2011,25 - 29,European students,Welsh Universities,570,90,Conservative,Pre Brexit
2011,25 - 29,English students,English Universities,171090,24985,Conservative,Pre Brexit
2011,25 - 29,English students,Northern Irish Universities,100,5,Conservative,Pre Brexit
2011,25 - 29,English students,Scottish Universities,1850,130,Conservative,Pre Brexit
2011,25 - 29,English students,Welsh Universities,2745,310,Conservative,Pre Brexit
2011,25 - 29,Northern Irish students,English Universities,1620,150,Conservative,Pre Brexit
2011,25 - 29,Northern Irish students,Northern Irish Universities,3830,610,Conservative,Pre Brexit
2011,25 - 29,Northern Irish students,Scottish Universities,450,40,Conservative,Pre Brexit
2011,25 - 29,Northern Irish students,Welsh Universities,130,20,Conservative,Pre Brexit
2011,25 - 29,International students,English Universities,16080,1510,Conservative,Pre Brexit
2011,25 - 29,International students,Northern Irish Universities,120,10,Conservative,Pre Brexit
2011,25 - 29,International students,Scottish Universities,1470,150,Conservative,Pre Brexit
2011,25 - 29,International students,Welsh Universities,640,60,Conservative,Pre Brexit
2011,25 - 29,Scottish students,English Universities,1720,140,Conservative,Pre Brexit
2011,25 - 29,Scottish students,Northern Irish Universities,30,0,Conservative,Pre Brexit
2011,25 - 29,Scottish students,Scottish Universities,18665,3295,Conservative,Pre Brexit
2011,25 - 29,Scottish students,Welsh Universities,70,5,Conservative,Pre Brexit
2011,25 - 29,Welsh students,English Universities,2940,295,Conservative,Pre Brexit
2011,25 - 29,Welsh students,Scottish Universities,80,10,Conservative,Pre Brexit
2011,25 - 29,Welsh students,Welsh Universities,5640,1150,Conservative,Pre Brexit
2011,30 - 34,European students,English Universities,2620,260,Conservative,Pre Brexit
2011,30 - 34,European students,Northern Irish Universities,170,25,Conservative,Pre Brexit
2011,30 - 34,European students,Scottish Universities,525,40,Conservative,Pre Brexit
2011,30 - 34,European students,Welsh Universities,140,20,Conservative,Pre Brexit
2011,30 - 34,English students,English Universities,99585,14320,Conservative,Pre Brexit
2011,30 - 34,English students,Northern Irish Universities,45,0,Conservative,Pre Brexit
2011,30 - 34,English students,Scottish Universities,790,50,Conservative,Pre Brexit
2011,30 - 34,English students,Welsh Universities,1130,110,Conservative,Pre Brexit
2011,30 - 34,Northern Irish students,English Universities,330,40,Conservative,Pre Brexit
2011,30 - 34,Northern Irish students,Northern Irish Universities,1510,275,Conservative,Pre Brexit
2011,30 - 34,Northern Irish students,Scottish Universities,90,10,Conservative,Pre Brexit
2011,30 - 34,Northern Irish students,Welsh Universities,20,0,Conservative,Pre Brexit
2011,30 - 34,International students,English Universities,5190,445,Conservative,Pre Brexit
2011,30 - 34,International students,Northern Irish Universities,45,0,Conservative,Pre Brexit
2011,30 - 34,International students,Scottish Universities,485,45,Conservative,Pre Brexit
2011,30 - 34,International students,Welsh Universities,250,20,Conservative,Pre Brexit
2011,30 - 34,Scottish students,English Universities,755,75,Conservative,Pre Brexit
2011,30 - 34,Scottish students,Northern Irish Universities,10,0,Conservative,Pre Brexit
2011,30 - 34,Scottish students,Scottish Universities,9055,1800,Conservative,Pre Brexit
2011,30 - 34,Scottish students,Welsh Universities,45,0,Conservative,Pre Brexit
2011,30 - 34,Welsh students,English Universities,1130,100,Conservative,Pre Brexit
2011,30 - 34,Welsh students,Northern Irish Universities,10,0,Conservative,Pre Brexit
2011,30 - 34,Welsh students,Scottish Universities,25,0,Conservative,Pre Brexit
2011,30 - 34,Welsh students,Welsh Universities,2910,625,Conservative,Pre Brexit
2011,35 and over,European students,English Universities,1495,135,Conservative,Pre Brexit
2011,35 and over,European students,Northern Irish Universities,300,40,Conservative,Pre Brexit
2011,35 and over,European students,Scottish Universities,265,25,Conservative,Pre Brexit
2011,35 and over,European students,Welsh Universities,105,10,Conservative,Pre Brexit
2011,35 and over,English students,English Universities,152290,23415,Conservative,Pre Brexit
2011,35 and over,English students,Northern Irish Universities,25,0,Conservative,Pre Brexit
2011,35 and over,English students,Scottish Universities,785,60,Conservative,Pre Brexit
2011,35 and over,English students,Welsh Universities,1260,160,Conservative,Pre Brexit
2011,35 and over,Northern Irish students,English Universities,225,10,Conservative,Pre Brexit
2011,35 and over,Northern Irish students,Northern Irish Universities,2150,360,Conservative,Pre Brexit
2011,35 and over,Northern Irish students,Scottish Universities,60,0,Conservative,Pre Brexit
2011,35 and over,Northern Irish students,Welsh Universities,5,0,Conservative,Pre Brexit
2011,35 and over,International students,English Universities,3235,285,Conservative,Pre Brexit
2011,35 and over,International students,Northern Irish Universities,40,0,Conservative,Pre Brexit
2011,35 and over,International students,Scottish Universities,360,30,Conservative,Pre Brexit
2011,35 and over,International students,Welsh Universities,150,10,Conservative,Pre Brexit
2011,35 and over,Scottish students,English Universities,585,55,Conservative,Pre Brexit
2011,35 and over,Scottish students,Northern Irish Universities,20,0,Conservative,Pre Brexit
2011,35 and over,Scottish students,Scottish Universities,11180,2580,Conservative,Pre Brexit
2011,35 and over,Scottish students,Welsh Universities,35,10,Conservative,Pre Brexit
2011,35 and over,Welsh students,English Universities,1035,110,Conservative,Pre Brexit
2011,35 and over,Welsh students,Scottish Universities,10,0,Conservative,Pre Brexit
2011,35 and over,Welsh students,Welsh Universities,4135,960,Conservative,Pre Brexit
2012,17 and under,European students,English Universities,20055,2200,Conservative,Pre Brexit
2012,17 and under,European students,Northern Irish Universities,1025,100,Conservative,Pre Brexit
2012,17 and under,European students,Scottish Universities,4950,310,Conservative,Pre Brexit
2012,17 and under,European students,Welsh Universities,515,75,Conservative,Pre Brexit
2012,17 and under,English students,English Universities,7690,1115,Conservative,Pre Brexit
2012,17 and under,English students,Scottish Universities,350,30,Conservative,Pre Brexit
2012,17 and under,English students,Welsh Universities,160,40,Conservative,Pre Brexit
2012,17 and under,Northern Irish students,English Universities,195,40,Conservative,Pre Brexit
2012,17 and under,Northern Irish students,Northern Irish Universities,180,30,Conservative,Pre Brexit
2012,17 and under,Northern Irish students,Scottish Universities,60,10,Conservative,Pre Brexit
2012,17 and under,Northern Irish students,Welsh Universities,10,0,Conservative,Pre Brexit
2012,17 and under,International students,English Universities,36020,3050,Conservative,Pre Brexit
2012,17 and under,International students,Northern Irish Universities,125,5,Conservative,Pre Brexit
2012,17 and under,International students,Scottish Universities,3375,305,Conservative,Pre Brexit
2012,17 and under,International students,Welsh Universities,975,100,Conservative,Pre Brexit
2012,17 and under,Scottish students,English Universities,180,20,Conservative,Pre Brexit
2012,17 and under,Scottish students,Scottish Universities,6210,780,Conservative,Pre Brexit
2012,17 and under,Scottish students,Welsh Universities,10,0,Conservative,Pre Brexit
2012,17 and under,Welsh students,English Universities,150,20,Conservative,Pre Brexit
2012,17 and under,Welsh students,Scottish Universities,15,0,Conservative,Pre Brexit
2012,17 and under,Welsh students,Welsh Universities,90,15,Conservative,Pre Brexit
2012,18,European students,English Universities,85660,10055,Conservative,Pre Brexit
2012,18,European students,Northern Irish Universities,2920,280,Conservative,Pre Brexit
2012,18,European students,Scottish Universities,27550,2240,Conservative,Pre Brexit
2012,18,European students,Welsh Universities,2860,430,Conservative,Pre Brexit
2012,18,English students,English Universities,1921530,294000,Conservative,Pre Brexit
2012,18,English students,Northern Irish Universities,2860,310,Conservative,Pre Brexit
2012,18,English students,Scottish Universities,41295,4915,Conservative,Pre Brexit
2012,18,English students,Welsh Universities,56430,10210,Conservative,Pre Brexit
2012,18,Northern Irish students,English Universities,30810,3110,Conservative,Pre Brexit
2012,18,Northern Irish students,Northern Irish Universities,66860,10865,Conservative,Pre Brexit
2012,18,Northern Irish students,Scottish Universities,12595,1140,Conservative,Pre Brexit
2012,18,Northern Irish students,Welsh Universities,1440,140,Conservative,Pre Brexit
2012,18,International students,English Universities,151220,14845,Conservative,Pre Brexit
2012,18,International students,Northern Irish Universities,580,50,Conservative,Pre Brexit
2012,18,International students,Scottish Universities,14365,1580,Conservative,Pre Brexit
2012,18,International students,Welsh Universities,3900,450,Conservative,Pre Brexit
2012,18,Scottish students,English Universities,7045,920,Conservative,Pre Brexit
2012,18,Scottish students,Northern Irish Universities,160,10,Conservative,Pre Brexit
2012,18,Scottish students,Scottish Universities,165895,25470,Conservative,Pre Brexit
2012,18,Scottish students,Welsh Universities,130,30,Conservative,Pre Brexit
2012,18,Welsh students,English Universities,59500,7770,Conservative,Pre Brexit
2012,18,Welsh students,Northern Irish Universities,110,0,Conservative,Pre Brexit
2012,18,Welsh students,Scottish Universities,1340,140,Conservative,Pre Brexit
2012,18,Welsh students,Welsh Universities,43830,9280,Conservative,Pre Brexit
2012,19,European students,English Universities,76020,9220,Conservative,Pre Brexit
2012,19,European students,Northern Irish Universities,970,110,Conservative,Pre Brexit
2012,19,European students,Scottish Universities,28780,2670,Conservative,Pre Brexit
2012,19,European students,Welsh Universities,2500,400,Conservative,Pre Brexit
2012,19,English students,English Universities,655790,103280,Conservative,Pre Brexit
2012,19,English students,Northern Irish Universities,875,75,Conservative,Pre Brexit
2012,19,English students,Scottish Universities,11310,1480,Conservative,Pre Brexit
2012,19,English students,Welsh Universities,16415,2905,Conservative,Pre Brexit
2012,19,Northern Irish students,English Universities,8370,960,Conservative,Pre Brexit
2012,19,Northern Irish students,Northern Irish Universities,13760,2250,Conservative,Pre Brexit
2012,19,Northern Irish students,Scottish Universities,2215,200,Conservative,Pre Brexit
2012,19,Northern Irish students,Welsh Universities,315,30,Conservative,Pre Brexit
2012,19,International students,English Universities,125840,13550,Conservative,Pre Brexit
2012,19,International students,Northern Irish Universities,440,45,Conservative,Pre Brexit
2012,19,International students,Scottish Universities,9220,875,Conservative,Pre Brexit
2012,19,International students,Welsh Universities,3610,425,Conservative,Pre Brexit
2012,19,Scottish students,English Universities,4170,590,Conservative,Pre Brexit
2012,19,Scottish students,Northern Irish Universities,80,10,Conservative,Pre Brexit
2012,19,Scottish students,Scottish Universities,44555,6890,Conservative,Pre Brexit
2012,19,Scottish students,Welsh Universities,80,10,Conservative,Pre Brexit
2012,19,Welsh students,English Universities,19370,2790,Conservative,Pre Brexit
2012,19,Welsh students,Northern Irish Universities,30,0,Conservative,Pre Brexit
2012,19,Welsh students,Scottish Universities,410,40,Conservative,Pre Brexit
2012,19,Welsh students,Welsh Universities,15360,3235,Conservative,Pre Brexit
2012,20,European students,English Universities,28320,3410,Conservative,Pre Brexit
2012,20,European students,Northern Irish Universities,480,75,Conservative,Pre Brexit
2012,20,European students,Scottish Universities,11220,1140,Conservative,Pre Brexit
2012,20,European students,Welsh Universities,960,180,Conservative,Pre Brexit
2012,20,English students,English Universities,231780,36540,Conservative,Pre Brexit
2012,20,English students,Northern Irish Universities,220,10,Conservative,Pre Brexit
2012,20,English students,Scottish Universities,2745,215,Conservative,Pre Brexit
2012,20,English students,Welsh Universities,4285,705,Conservative,Pre Brexit
2012,20,Northern Irish students,English Universities,3830,460,Conservative,Pre Brexit
2012,20,Northern Irish students,Northern Irish Universities,6430,1110,Conservative,Pre Brexit
2012,20,Northern Irish students,Scottish Universities,810,75,Conservative,Pre Brexit
2012,20,Northern Irish students,Welsh Universities,145,20,Conservative,Pre Brexit
2012,20,International students,English Universities,65810,7510,Conservative,Pre Brexit
2012,20,International students,Northern Irish Universities,375,65,Conservative,Pre Brexit
2012,20,International students,Scottish Universities,4545,480,Conservative,Pre Brexit
2012,20,International students,Welsh Universities,2600,415,Conservative,Pre Brexit
2012,20,Scottish students,English Universities,1850,260,Conservative,Pre Brexit
2012,20,Scottish students,Northern Irish Universities,40,0,Conservative,Pre Brexit
2012,20,Scottish students,Scottish Universities,26245,4215,Conservative,Pre Brexit
2012,20,Scottish students,Welsh Universities,40,5,Conservative,Pre Brexit
2012,20,Welsh students,English Universities,5890,830,Conservative,Pre Brexit
2012,20,Welsh students,Scottish Universities,120,10,Conservative,Pre Brexit
2012,20,Welsh students,Welsh Universities,6605,1460,Conservative,Pre Brexit
2012,21 - 24,European students,English Universities,30490,3700,Conservative,Pre Brexit
2012,21 - 24,European students,Northern Irish Universities,970,100,Conservative,Pre Brexit
2012,21 - 24,European students,Scottish Universities,11410,1240,Conservative,Pre Brexit
2012,21 - 24,European students,Welsh Universities,1480,290,Conservative,Pre Brexit
2012,21 - 24,English students,English Universities,331690,48375,Conservative,Pre Brexit
2012,21 - 24,English students,Northern Irish Universities,380,45,Conservative,Pre Brexit
2012,21 - 24,English students,Scottish Universities,4375,360,Conservative,Pre Brexit
2012,21 - 24,English students,Welsh Universities,6455,820,Conservative,Pre Brexit
2012,21 - 24,Northern Irish students,English Universities,4840,540,Conservative,Pre Brexit
2012,21 - 24,Northern Irish students,Northern Irish Universities,8975,1490,Conservative,Pre Brexit
2012,21 - 24,Northern Irish students,Scottish Universities,1100,95,Conservative,Pre Brexit
2012,21 - 24,Northern Irish students,Welsh Universities,200,30,Conservative,Pre Brexit
2012,21 - 24,International students,English Universities,71240,7455,Conservative,Pre Brexit
2012,21 - 24,International students,Northern Irish Universities,420,70,Conservative,Pre Brexit
2012,21 - 24,International students,Scottish Universities,5870,665,Conservative,Pre Brexit
2012,21 - 24,International students,Welsh Universities,3180,440,Conservative,Pre Brexit
2012,21 - 24,Scottish students,English Universities,3530,365,Conservative,Pre Brexit
2012,21 - 24,Scottish students,Northern Irish Universities,80,20,Conservative,Pre Brexit
2012,21 - 24,Scottish students,Scottish Universities,42700,6730,Conservative,Pre Brexit
2012,21 - 24,Scottish students,Welsh Universities,150,20,Conservative,Pre Brexit
2012,21 - 24,Welsh students,English Universities,8135,945,Conservative,Pre Brexit
2012,21 - 24,Welsh students,Northern Irish Universities,30,0,Conservative,Pre Brexit
2012,21 - 24,Welsh students,Scottish Universities,185,20,Conservative,Pre Brexit
2012,21 - 24,Welsh students,Welsh Universities,10590,2030,Conservative,Pre Brexit
2012,25 - 29,European students,English Universities,7330,770,Conservative,Pre Brexit
2012,25 - 29,European students,Northern Irish Universities,360,50,Conservative,Pre Brexit
2012,25 - 29,European students,Scottish Universities,2310,250,Conservative,Pre Brexit
2012,25 - 29,European students,Welsh Universities,370,60,Conservative,Pre Brexit
2012,25 - 29,English students,English Universities,151110,21840,Conservative,Pre Brexit
2012,25 - 29,English students,Northern Irish Universities,100,10,Conservative,Pre Brexit
2012,25 - 29,English students,Scottish Universities,1640,105,Conservative,Pre Brexit
2012,25 - 29,English students,Welsh Universities,2610,260,Conservative,Pre Brexit
2012,25 - 29,Northern Irish students,English Universities,1280,125,Conservative,Pre Brexit
2012,25 - 29,Northern Irish students,Northern Irish Universities,3410,510,Conservative,Pre Brexit
2012,25 - 29,Northern Irish students,Scottish Universities,265,10,Conservative,Pre Brexit
2012,25 - 29,Northern Irish students,Welsh Universities,70,10,Conservative,Pre Brexit
2012,25 - 29,International students,English Universities,14920,1260,Conservative,Pre Brexit
2012,25 - 29,International students,Northern Irish Universities,105,5,Conservative,Pre Brexit
2012,25 - 29,International students,Scottish Universities,1545,160,Conservative,Pre Brexit
2012,25 - 29,International students,Welsh Universities,630,90,Conservative,Pre Brexit
2012,25 - 29,Scottish students,English Universities,1620,170,Conservative,Pre Brexit
2012,25 - 29,Scottish students,Northern Irish Universities,50,10,Conservative,Pre Brexit
2012,25 - 29,Scottish students,Scottish Universities,18270,3120,Conservative,Pre Brexit
2012,25 - 29,Scottish students,Welsh Universities,60,5,Conservative,Pre Brexit
2012,25 - 29,Welsh students,English Universities,2690,300,Conservative,Pre Brexit
2012,25 - 29,Welsh students,Northern Irish Universities,10,0,Conservative,Pre Brexit
2012,25 - 29,Welsh students,Scottish Universities,60,0,Conservative,Pre Brexit
2012,25 - 29,Welsh students,Welsh Universities,5250,1050,Conservative,Pre Brexit
2012,30 - 34,European students,English Universities,1965,190,Conservative,Pre Brexit
2012,30 - 34,European students,Northern Irish Universities,150,25,Conservative,Pre Brexit
2012,30 - 34,European students,Scottish Universities,520,50,Conservative,Pre Brexit
2012,30 - 34,European students,Welsh Universities,160,30,Conservative,Pre Brexit
2012,30 - 34,English students,English Universities,89670,12625,Conservative,Pre Brexit
2012,30 - 34,English students,Northern Irish Universities,50,10,Conservative,Pre Brexit
2012,30 - 34,English students,Scottish Universities,625,50,Conservative,Pre Brexit
2012,30 - 34,English students,Welsh Universities,965,70,Conservative,Pre Brexit
2012,30 - 34,Northern Irish students,English Universities,370,50,Conservative,Pre Brexit
2012,30 - 34,Northern Irish students,Northern Irish Universities,1430,270,Conservative,Pre Brexit
2012,30 - 34,Northern Irish students,Scottish Universities,60,5,Conservative,Pre Brexit
2012,30 - 34,Northern Irish students,Welsh Universities,20,0,Conservative,Pre Brexit
2012,30 - 34,International students,English Universities,4755,360,Conservative,Pre Brexit
2012,30 - 34,International students,Northern Irish Universities,40,0,Conservative,Pre Brexit
2012,30 - 34,International students,Scottish Universities,540,50,Conservative,Pre Brexit
2012,30 - 34,International students,Welsh Universities,195,10,Conservative,Pre Brexit
2012,30 - 34,Scottish students,English Universities,620,60,Conservative,Pre Brexit
2012,30 - 34,Scottish students,Northern Irish Universities,10,0,Conservative,Pre Brexit
2012,30 - 34,Scottish students,Scottish Universities,8605,1650,Conservative,Pre Brexit
2012,30 - 34,Scottish students,Welsh Universities,20,0,Conservative,Pre Brexit
2012,30 - 34,Welsh students,English Universities,1100,145,Conservative,Pre Brexit
2012,30 - 34,Welsh students,Scottish Universities,50,0,Conservative,Pre Brexit
2012,30 - 34,Welsh students,Welsh Universities,2900,555,Conservative,Pre Brexit
2012,35 and over,European students,English Universities,1400,110,Conservative,Pre Brexit
2012,35 and over,European students,Northern Irish Universities,270,55,Conservative,Pre Brexit
2012,35 and over,European students,Scottish Universities,410,30,Conservative,Pre Brexit
2012,35 and over,European students,Welsh Universities,110,20,Conservative,Pre Brexit
2012,35 and over,English students,English Universities,137455,20745,Conservative,Pre Brexit
2012,35 and over,English students,Northern Irish Universities,40,0,Conservative,Pre Brexit
2012,35 and over,English students,Scottish Universities,765,50,Conservative,Pre Brexit
2012,35 and over,English students,Welsh Universities,1160,120,Conservative,Pre Brexit
2012,35 and over,Northern Irish students,English Universities,190,10,Conservative,Pre Brexit
2012,35 and over,Northern Irish students,Northern Irish Universities,1720,310,Conservative,Pre Brexit
2012,35 and over,Northern Irish students,Scottish Universities,35,0,Conservative,Pre Brexit
2012,35 and over,Northern Irish students,Welsh Universities,15,0,Conservative,Pre Brexit
2012,35 and over,International students,English Universities,3390,270,Conservative,Pre Brexit
2012,35 and over,International students,Northern Irish Universities,20,0,Conservative,Pre Brexit
2012,35 and over,International students,Scottish Universities,330,25,Conservative,Pre Brexit
2012,35 and over,International students,Welsh Universities,150,15,Conservative,Pre Brexit
2012,35 and over,Scottish students,English Universities,580,60,Conservative,Pre Brexit
2012,35 and over,Scottish students,Scottish Universities,10740,2250,Conservative,Pre Brexit
2012,35 and over,Scottish students,Welsh Universities,30,0,Conservative,Pre Brexit
2012,35 and over,Welsh students,English Universities,1220,160,Conservative,Pre Brexit
2012,35 and over,Welsh students,Scottish Universities,10,0,Conservative,Pre Brexit
2012,35 and over,Welsh students,Welsh Universities,4020,855,Conservative,Pre Brexit
2013,17 and under,European students,English Universities,20995,2360,Conservative,Pre Brexit
2013,17 and under,European students,Northern Irish Universities,840,70,Conservative,Pre Brexit
2013,17 and under,European students,Scottish Universities,5770,400,Conservative,Pre Brexit
2013,17 and under,European students,Welsh Universities,660,80,Conservative,Pre Brexit
2013,17 and under,English students,English Universities,7090,1060,Conservative,Pre Brexit
2013,17 and under,English students,Northern Irish Universities,10,0,Conservative,Pre Brexit
2013,17 and under,English students,Scottish Universities,370,30,Conservative,Pre Brexit
2013,17 and under,English students,Welsh Universities,160,20,Conservative,Pre Brexit
2013,17 and under,Northern Irish students,English Universities,110,5,Conservative,Pre Brexit
2013,17 and under,Northern Irish students,Northern Irish Universities,170,30,Conservative,Pre Brexit
2013,17 and under,Northern Irish students,Scottish Universities,50,0,Conservative,Pre Brexit
2013,17 and under,International students,English Universities,42080,3440,Conservative,Pre Brexit
2013,17 and under,International students,Northern Irish Universities,140,5,Conservative,Pre Brexit
2013,17 and under,International students,Scottish Universities,3840,330,Conservative,Pre Brexit
2013,17 and under,International students,Welsh Universities,1265,110,Conservative,Pre Brexit
2013,17 and under,Scottish students,English Universities,140,10,Conservative,Pre Brexit
2013,17 and under,Scottish students,Northern Irish Universities,5,0,Conservative,Pre Brexit
2013,17 and under,Scottish students,Scottish Universities,5205,665,Conservative,Pre Brexit
2013,17 and under,Scottish students,Welsh Universities,5,0,Conservative,Pre Brexit
2013,17 and under,Welsh students,English Universities,240,30,Conservative,Pre Brexit
2013,17 and under,Welsh students,Scottish Universities,20,0,Conservative,Pre Brexit
2013,17 and under,Welsh students,Welsh Universities,90,20,Conservative,Pre Brexit
2013,18,European students,English Universities,89995,10970,Conservative,Pre Brexit
2013,18,European students,Northern Irish Universities,2750,280,Conservative,Pre Brexit
2013,18,European students,Scottish Universities,29200,2090,Conservative,Pre Brexit
2013,18,European students,Welsh Universities,3120,475,Conservative,Pre Brexit
2013,18,English students,English Universities,1926320,307690,Conservative,Pre Brexit
2013,18,English students,Northern Irish Universities,2860,260,Conservative,Pre Brexit
2013,18,English students,Scottish Universities,46440,4950,Conservative,Pre Brexit
2013,18,English students,Welsh Universities,61280,11020,Conservative,Pre Brexit
2013,18,Northern Irish students,English Universities,30940,3310,Conservative,Pre Brexit
2013,18,Northern Irish students,Northern Irish Universities,65580,11340,Conservative,Pre Brexit
2013,18,Northern Irish students,Scottish Universities,14420,1330,Conservative,Pre Brexit
2013,18,Northern Irish students,Welsh Universities,1750,150,Conservative,Pre Brexit
2013,18,International students,English Universities,171315,16685,Conservative,Pre Brexit
2013,18,International students,Northern Irish Universities,570,40,Conservative,Pre Brexit
2013,18,International students,Scottish Universities,15950,1820,Conservative,Pre Brexit
2013,18,International students,Welsh Universities,4950,545,Conservative,Pre Brexit
2013,18,Scottish students,English Universities,7440,1010,Conservative,Pre Brexit
2013,18,Scottish students,Northern Irish Universities,130,10,Conservative,Pre Brexit
2013,18,Scottish students,Scottish Universities,165360,25480,Conservative,Pre Brexit
2013,18,Scottish students,Welsh Universities,145,40,Conservative,Pre Brexit
2013,18,Welsh students,English Universities,58210,7810,Conservative,Pre Brexit
